date,ticker,google_trends
2022-10-01,AMC,5
2022-11-01,AMC,5
2022-12-01,AMC,5
2023-01-01,AMC,6
2023-02-01,AMC,7
2023-03-01,AMC,6
2023-04-01,AMC,5
2023-05-01,AMC,4
2023-06-01,AMC,4
2023-07-01,AMC,5
2023-08-01,AMC,8
2023-09-01,AMC,5
2023-10-01,AMC,4
2023-11-01,AMC,4
2023-12-01,AMC,3
2024-01-01,AMC,3
2024-02-01,AMC,3
2024-03-01,AMC,2
2024-04-01,AMC,2
2024-05-01,AMC,12
2024-06-01,AMC,6
2024-07-01,AMC,3
2024-08-01,AMC,2
2024-09-01,AMC,2
2024-10-01,AMC,2
2024-11-01,AMC,2
2024-12-01,AMC,2
2025-01-01,AMC,2
2025-02-01,AMC,2
2025-03-01,AMC,1
2025-04-01,AMC,2
2025-05-01,AMC,2
2025-06-01,AMC,1
2025-07-01,AMC,2
2025-08-01,AMC,2
2025-09-01,AMC,1
2025-10-01,AMC,2
2025-11-01,AMC,1
2025-12-01,AMC,2
2026-01-01,AMC,1
2020-01-01,TSLA,19
2020-02-01,TSLA,40
2020-03-01,TSLA,31
2020-04-01,TSLA,22
2020-05-01,TSLA,19
2020-06-01,TSLA,19
2020-07-01,TSLA,43
2020-08-01,TSLA,44
2020-09-01,TSLA,69
2020-10-01,TSLA,30
2020-11-01,TSLA,35
2020-12-01,TSLA,45
2021-01-01,TSLA,54
2021-02-01,TSLA,47
2021-03-01,TSLA,46
2021-04-01,TSLA,34
2021-05-01,TSLA,30
2021-06-01,TSLA,23
2021-07-01,TSLA,19
2021-08-01,TSLA,19
2021-09-01,TSLA,17
2021-10-01,TSLA,28
2021-11-01,TSLA,42
2021-12-01,TSLA,28
2022-01-01,TSLA,30
2022-02-01,TSLA,25
2022-03-01,TSLA,26
2022-04-01,TSLA,27
2022-05-01,TSLA,32
2022-06-01,TSLA,27
2022-07-01,TSLA,21
2022-08-01,TSLA,27
2022-09-01,TSLA,21
2022-10-01,TSLA,23
2022-11-01,TSLA,21
2022-12-01,TSLA,31
2023-01-01,TSLA,36
2023-02-01,TSLA,31
2023-03-01,TSLA,22
2023-04-01,TSLA,20
2023-05-01,TSLA,18
2023-06-01,TSLA,29
2023-07-01,TSLA,24
2023-08-01,TSLA,20
2023-09-01,TSLA,18
2023-10-01,TSLA,18
2023-11-01,TSLA,17
