week_end,google_trends,ticker
2020-10-02,1.0,GME
2020-10-09,,GME
2020-10-16,,GME
2020-10-23,,GME
2020-10-30,,GME
2020-11-06,2.0,GME
2020-11-13,,GME
2020-11-20,,GME
2020-11-27,,GME
2020-12-04,2.0,GME
2020-12-11,,GME
2020-12-18,,GME
2020-12-25,,GME
2021-01-01,100.0,GME
2021-01-08,,GME
2021-01-15,,GME
2021-01-22,,GME
2021-01-29,,GME
2021-02-05,69.0,GME
2021-02-12,,GME
2021-02-19,,GME
2021-02-26,,GME
2021-03-05,27.0,GME
2021-03-12,,GME
2021-03-19,,GME
2021-03-26,,GME
2021-04-02,12.0,GME
2021-04-09,,GME
2021-04-16,,GME
2021-04-23,,GME
2021-04-30,,GME
2021-05-07,10.0,GME
2021-05-14,,GME
2021-05-21,,GME
2021-05-28,,GME
2021-06-04,11.0,GME
2021-06-11,,GME
2021-06-18,,GME
2021-06-25,,GME
2021-07-02,5.0,GME
2021-07-09,,GME
2021-07-16,,GME
2021-07-23,,GME
2021-07-30,,GME
2021-08-06,4.0,GME
2021-08-13,,GME
2021-08-20,,GME
2021-08-27,,GME
2021-09-03,4.0,GME
2021-09-10,,GME
2021-09-17,,GME
2021-09-24,,GME
2021-10-01,3.0,GME
2021-10-08,,GME
2021-10-15,,GME
2021-10-22,,GME
2021-10-29,,GME
2021-11-05,4.0,GME
2021-11-12,,GME
2021-11-19,,GME
2021-11-26,,GME
2021-12-03,3.0,GME
2021-12-10,,GME
2021-12-17,,GME
2021-12-24,,GME
2021-12-31,,GME
2022-01-07,4.0,GME
2022-01-14,,GME
2022-01-21,,GME
2022-01-28,,GME
2022-02-04,3.0,GME
2022-02-11,,GME
2022-02-18,,GME
2022-02-25,,GME
2022-03-04,4.0,GME
2022-03-11,,GME
2022-03-18,,GME
2022-03-25,,GME
2022-04-01,3.0,GME
2022-04-08,,GME
2022-04-15,,GME
2022-04-22,,GME
2022-04-29,,GME
2022-05-06,3.0,GME
2022-05-13,,GME
2022-05-20,,GME
2022-05-27,,GME
2022-06-03,2.0,GME
2022-06-10,,GME
2022-06-17,,GME
2022-06-24,,GME
2022-07-01,3.0,GME
2022-07-08,,GME
2022-07-15,,GME
2022-07-22,,GME
2022-07-29,,GME
2022-08-05,2.0,GME
2022-08-12,,GME
2022-08-19,,GME
2022-08-26,,GME
2022-09-02,2.0,GME
2022-09-09,,GME
2022-09-16,,GME
2022-09-23,,GME
2022-09-30,,GME
2022-10-07,2.0,GME
2022-10-14,,GME
2022-10-21,,GME
2022-10-28,,GME
2022-11-04,1.0,GME
2022-11-11,,GME
2022-11-18,,GME
2022-11-25,,GME
2022-12-02,1.0,GME
2022-12-09,,GME
2022-12-16,,GME
2022-12-23,,GME
2022-12-30,,GME
2023-01-06,1.0,GME
2023-01-13,,GME
2023-01-20,,GME
2023-01-27,,GME
2023-02-03,1.0,GME
2023-02-10,,GME
2023-02-17,,GME
2023-02-24,,GME
2023-03-03,1.0,GME
2023-03-10,,GME
2023-03-17,,GME
2023-03-24,,GME
2023-03-31,,GME
2023-04-07,1.0,GME
2023-04-14,,GME
2023-04-21,,GME
2023-04-28,,GME
2023-05-05,1.0,GME
2023-05-12,,GME
2023-05-19,,GME
2023-05-26,,GME
2023-06-02,1.0,GME
2023-06-09,,GME
2023-06-16,,GME
2023-06-23,,GME
2023-06-30,,GME
2023-07-07,1.0,GME
2023-07-14,,GME
2023-07-21,,GME
2023-07-28,,GME
2023-08-04,1.0,GME
2023-08-11,,GME
2023-08-18,,GME
2023-08-25,,GME
2023-09-01,1.0,GME
2023-09-08,,GME
2023-09-15,,GME
2023-09-22,,GME
2023-09-29,,GME
2023-10-06,1.0,GME
2023-10-13,,GME
2023-10-20,,GME
2023-10-27,,GME
2023-11-03,1.0,GME
2023-11-10,,GME
2023-11-17,,GME
2023-11-24,,GME
2023-12-01,1.0,GME
2023-12-08,,GME
2023-12-15,,GME
2023-12-22,,GME
2023-12-29,,GME
2024-01-05,2.0,GME
2024-01-12,,GME
2024-01-19,,GME
2024-01-26,,GME
2024-02-02,2.0,GME
2024-02-09,,GME
2024-02-16,,GME
2024-02-23,,GME
2024-03-01,1.0,GME
2024-03-08,,GME
2024-03-15,,GME
2024-03-22,,GME
2024-03-29,,GME
2024-04-05,1.0,GME
2024-04-12,,GME
2024-04-19,,GME
2024-04-26,,GME
2024-05-03,12.0,GME
2024-05-10,,GME
2024-05-17,,GME
2024-05-24,,GME
2024-05-31,,GME
2024-06-07,12.0,GME
2024-06-14,,GME
2024-06-21,,GME
2024-06-28,,GME
2024-07-05,2.0,GME
2024-07-12,,GME
2024-07-19,,GME
2024-07-26,,GME
2024-08-02,1.0,GME
2024-08-09,,GME
2024-08-16,,GME
2024-08-23,,GME
2024-08-30,,GME
2024-09-06,1.0,GME
2024-09-13,,GME
2024-09-20,,GME
2024-09-27,,GME
2024-10-04,1.0,GME
2024-10-11,,GME
2024-10-18,,GME
2024-10-25,,GME
2024-11-01,2.0,GME
2024-11-08,,GME
2024-11-15,,GME
2024-11-22,,GME
2024-11-29,,GME
2024-12-06,2.0,GME
2024-12-13,,GME
2024-12-20,,GME
2024-12-27,,GME
2025-01-03,1.0,GME
2025-01-10,,GME
2025-01-17,,GME
2025-01-24,,GME
2025-01-31,,GME
2025-02-07,1.0,GME
2025-02-14,,GME
2025-02-21,,GME
2025-02-28,,GME
2025-03-07,1.0,GME
2025-03-14,,GME
2025-03-21,,GME
2025-03-28,,GME
2025-04-04,1.0,GME
2025-04-11,,GME
2025-04-18,,GME
2025-04-25,,GME
2025-05-02,1.0,GME
2025-05-09,,GME
2025-05-16,,GME
2025-05-23,,GME
2025-05-30,,GME
2025-06-06,1.0,GME
2025-06-13,,GME
2025-06-20,,GME
2025-06-27,,GME
2025-07-04,1.0,GME
2025-07-11,,GME
2025-07-18,,GME
2025-07-25,,GME
2025-08-01,1.0,GME
2025-08-08,,GME
2025-08-15,,GME
2025-08-22,,GME
2025-08-29,,GME
2025-09-05,1.0,GME
2025-09-12,,GME
2025-09-19,,GME
2025-09-26,,GME
2025-10-03,1.0,GME
2025-10-10,,GME
2025-10-17,,GME
2025-10-24,,GME
2025-10-31,,GME
2025-11-07,1.0,GME
2025-11-14,,GME
2025-11-21,,GME
2025-11-28,,GME
2025-12-05,1.0,GME
2025-12-12,,GME
2025-12-19,,GME
2025-12-26,,GME
2026-01-02,1.0,GME
2020-01-03,3.0,NVDA
